layer,l2_distance,max_abs_diff,round
fc1.weight,0.0,0.0,1
fc1.bias,0.0,0.0,1
fc2.weight,0.0,0.0,1
fc2.bias,0.0,0.0,1
fc3.weight,0.0,0.0,1
fc3.bias,0.0,0.0,1
fc4.weight,0.0,0.0,1
fc4.bias,0.0,0.0,1
fc5.weight,0.0,0.0,1
fc5.bias,0.0,0.0,1
fc1.weight,0.0,0.0,2
fc1.bias,0.0,0.0,2
fc2.weight,0.0,0.0,2
fc2.bias,0.0,0.0,2
fc3.weight,0.0,0.0,2
fc3.bias,0.0,0.0,2
fc4.weight,0.0,0.0,2
fc4.bias,0.0,0.0,2
fc5.weight,0.0,0.0,2
fc5.bias,0.0,0.0,2
fc1.weight,0.0,0.0,3
fc1.bias,0.0,0.0,3
fc2.weight,0.0,0.0,3
fc2.bias,0.0,0.0,3
fc3.weight,0.0,0.0,3
fc3.bias,0.0,0.0,3
fc4.weight,0.0,0.0,3
fc4.bias,0.0,0.0,3
fc5.weight,0.0,0.0,3
fc5.bias,0.0,0.0,3
fc1.weight,0.0,0.0,4
fc1.bias,0.0,0.0,4
fc2.weight,0.0,0.0,4
fc2.bias,0.0,0.0,4
fc3.weight,0.0,0.0,4
fc3.bias,0.0,0.0,4
fc4.weight,0.0,0.0,4
fc4.bias,0.0,0.0,4
fc5.weight,0.0,0.0,4
fc5.bias,0.0,0.0,4
fc1.weight,0.0,0.0,5
fc1.bias,0.0,0.0,5
fc2.weight,0.0,0.0,5
fc2.bias,0.0,0.0,5
fc3.weight,0.0,0.0,5
fc3.bias,0.0,0.0,5
fc4.weight,0.0,0.0,5
fc4.bias,0.0,0.0,5
fc5.weight,0.0,0.0,5
fc5.bias,0.0,0.0,5
