scenario,attack_enabled,malicious_client_id,attack_scale,labels_per_client,round,optimizer,learning_rate,fl_test_loss,fl_test_accuracy,sfl_test_loss,sfl_test_accuracy,fl_minus_sfl_accuracy,global_l2_distance_fl_vs_sfl,fl_time_sec,sfl_time_sec,evaluation_time_sec,total_round_time_sec,weights_dir
attack_client_0_scale_minus_5p0,True,0,-5.0,4,1,SGD,0.005,2.3144918045043945,0.0892,2.3144918045043945,0.0892,0.0,0.0,2.7295676940120757,2.753808822017163,0.5802049131598324,6.06623718701303,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_4_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,4,2,SGD,0.005,2.318263136291504,0.0892,2.318263136291504,0.0892,0.0,0.0,2.5202620029449463,2.7070227349177003,0.5806464760098606,5.813863787101582,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_4_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,4,3,SGD,0.005,2.3244589065551757,0.0892,2.3244589065551757,0.0892,0.0,0.0,2.5274948950391263,2.6975216870196164,0.5752039758954197,5.803044575033709,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_4_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,4,4,SGD,0.005,2.333200220870972,0.0892,2.333200220870972,0.0892,0.0,0.0,2.4945817610714585,2.7115253291558474,0.5750362041871995,5.7837389931082726,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_4_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,4,5,SGD,0.005,2.3448087745666504,0.0892,2.3448087745666504,0.0892,0.0,0.0,2.519690295914188,2.8020272890571505,0.587592288153246,5.912344492971897,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_4_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,4,6,SGD,0.005,2.3599028282165526,0.0902,2.3599028282165526,0.0902,0.0,0.0,2.5339805181138217,2.6880367738194764,0.5762118350248784,5.800940074026585,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_4_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,4,7,SGD,0.005,2.3792267787933348,0.1158,2.3792267787933348,0.1158,0.0,0.0,2.5172372029628605,2.805926044937223,0.5752106530126184,5.901141040027142,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_4_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,4,8,SGD,0.005,2.4038990631103516,0.1361,2.4038990631103516,0.1361,0.0,0.0,2.544321273919195,2.8710761917755008,0.5761748140212148,5.994215662125498,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_4_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,4,9,SGD,0.005,2.435835873413086,0.1028,2.435835873413086,0.1028,0.0,0.0,2.5074055339209735,2.7003169478848577,0.5753110700752586,5.786368056898937,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_4_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,4,10,SGD,0.005,2.4776726161956786,0.1028,2.4776726161956786,0.1028,0.0,0.0,2.5167708608787507,2.6964973949361593,0.5788281089626253,5.795302310027182,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_4_per_client/attack_client_0_scale_minus_5p0
