round,fl_test_loss,fl_test_accuracy,sfl_test_loss,sfl_test_accuracy,fl_minus_sfl_accuracy,global_l2_distance_fl_vs_sfl,fl_time_sec,sfl_time_sec,evaluation_time_sec,total_round_time_sec
1,2.311900816345215,0.0892,2.311900816345215,0.0892,0.0,0.0,3.0306045268662274,3.222074444172904,0.654647460905835,6.910545400111005
2,2.310736706542969,0.0892,2.310736706542969,0.0892,0.0,0.0,2.9554091170430183,3.1290501160547137,0.6582333068363369,6.74573085992597
3,2.309602280807495,0.0892,2.309602280807495,0.0892,0.0,0.0,3.0684555449988693,3.3380225969012827,0.654378182021901,7.063997913850471
4,2.3085842266082763,0.0892,2.3085842266082763,0.0892,0.0,0.0,3.2321626690682024,3.289641643874347,0.655156210064888,7.1800573212094605
5,2.30763288192749,0.0892,2.30763288192749,0.0892,0.0,0.0,2.87564139184542,3.257349045947194,0.6369647320825607,6.772895314032212
6,2.3067582332611085,0.0881,2.3067582332611085,0.0881,0.0,0.0,2.9542836600448936,3.017037571873516,0.6389475401956588,6.613171105040237
7,2.306055840301514,0.0932,2.306055840301514,0.0932,0.0,0.0,2.9228815610986203,2.958954625064507,0.6537805709522218,6.538500195136294
8,2.3057831813812255,0.1103,2.3057831813812255,0.1103,0.0,0.0,3.0045780630316585,3.172987513942644,0.6483080140314996,6.8290942900348455
9,2.3070454925537107,0.1028,2.3070454925537107,0.1028,0.0,0.0,2.89505385607481,3.1345854110550135,0.6555714409332722,6.688324388116598
10,2.3179897758483885,0.1028,2.3179897758483885,0.1028,0.0,0.0,3.0084918718785048,3.0845611619297415,0.6387614051345736,6.734772664029151
11,2.3479716735839844,0.1028,2.3479716735839844,0.1028,0.0,0.0,3.0053809019736946,3.0203256339300424,0.6438921040389687,6.67258308804594
12,2.36384451751709,0.1135,2.36384451751709,0.1135,0.0,0.0,3.0509788040071726,3.2901864510495216,0.6404791960958391,6.9845807899255306
13,2.3601624252319335,0.1135,2.3601624252319335,0.1135,0.0,0.0,2.9377616001293063,2.9934762469492853,0.6363108609803021,6.570376367075369
14,2.3490579391479494,0.1135,2.3490579391479494,0.1135,0.0,0.0,2.805907032918185,2.947374642128125,0.633803399046883,6.38985781907104
15,2.338745916366577,0.1135,2.338745916366577,0.1135,0.0,0.0,2.822087006876245,2.993630411103368,0.6345456228591502,6.453311707824469
16,2.3323241458892823,0.1135,2.3323241458892823,0.1135,0.0,0.0,3.019287087954581,3.1648572178091854,0.6350351090077311,6.822208009893075
17,2.3279957706451415,0.1135,2.3279957706451415,0.1135,0.0,0.0,2.942703519947827,3.0144542150665075,0.6295708629768342,6.589493453968316
18,2.326495265197754,0.1135,2.326495265197754,0.1135,0.0,0.0,2.857020420022309,3.083366584032774,0.6266364059410989,6.570180363021791
19,2.3262762893676756,0.1135,2.3262762893676756,0.1135,0.0,0.0,2.7743394740391523,3.009078553877771,0.655044776853174,6.441397950984538
20,2.326712260055542,0.1135,2.326712260055542,0.1135,0.0,0.0,2.9410186749882996,3.0111633089836687,0.6375442950520664,6.592687968164682
21,2.326624359893799,0.1135,2.326624359893799,0.1135,0.0,0.0,2.9459425441455096,3.2131401451770216,0.6525516139809042,6.81488350383006
22,2.3265828285217287,0.1135,2.3265828285217287,0.1135,0.0,0.0,3.0652206409722567,2.9276311909779906,0.6332491890061647,6.62895879894495
23,2.326730536651611,0.1135,2.326730536651611,0.1135,0.0,0.0,2.848312893882394,3.0602653159294277,0.6276926980353892,6.539302777033299
24,2.3265773048400877,0.1135,2.3265773048400877,0.1135,0.0,0.0,2.9018570920452476,3.1632139298599213,0.6521609080955386,6.720209859777242
25,2.3262272888183593,0.1135,2.3262272888183593,0.1135,0.0,0.0,2.8593141220044345,3.0077015040442348,0.6457142448052764,6.515812651021406
26,2.3259182571411134,0.1135,2.3259182571411134,0.1135,0.0,0.0,2.864801740972325,3.1382685732096434,0.6632584109902382,6.670126435114071
27,2.3259453472137452,0.1135,2.3259453472137452,0.1135,0.0,0.0,2.9795285798609257,3.090877761133015,0.64879130711779,6.722304992843419
28,2.3250163776397703,0.1135,2.3250163776397703,0.1135,0.0,0.0,2.901762498077005,3.1994624079670757,0.6678620520979166,6.77221240894869
29,2.324345721435547,0.1135,2.324345721435547,0.1135,0.0,0.0,2.995295722037554,3.263530537020415,0.6593307049479336,6.9212591289542615
30,2.3243981018066404,0.1135,2.3243981018066404,0.1135,0.0,0.0,3.0609538059215993,3.0363889548461884,0.637179815210402,6.737467032857239
31,2.323726234436035,0.1135,2.323726234436035,0.1135,0.0,0.0,3.0294438239652663,3.228058452019468,0.6525523320306093,6.913232224062085
32,2.3231612594604494,0.1135,2.3231612594604494,0.1135,0.0,0.0,2.8348158651497215,3.0814513359218836,0.6534024500288069,6.572800210211426
33,2.3224787567138674,0.1135,2.3224787567138674,0.1135,0.0,0.0,3.0884383600205183,3.197049990063533,0.6588434921577573,6.947429319145158
34,2.3226772117614747,0.1135,2.3226772117614747,0.1135,0.0,0.0,3.1053469511680305,3.1822891959454864,0.6542019029147923,6.945081482175738
35,2.3223408168792723,0.1135,2.3223408168792723,0.1135,0.0,0.0,3.1261996820103377,3.24928693799302,0.6533730791416019,7.031857304042205
36,2.323123908996582,0.1135,2.323123908996582,0.1135,0.0,0.0,2.928670716006309,3.171973448013887,0.6587900430895388,6.762515137903392
37,2.3223044715881347,0.1135,2.3223044715881347,0.1135,0.0,0.0,3.0524862059392035,3.184829420177266,0.664480946958065,6.905024088919163
38,2.3213136638641356,0.1135,2.3213136638641356,0.1135,0.0,0.0,2.98605182999745,3.2047767331823707,0.6536040608771145,6.847326036076993
39,2.320988126373291,0.1135,2.320988126373291,0.1135,0.0,0.0,2.93707163608633,3.1762716330122203,0.6731122599449009,6.789559657918289
40,2.32073091545105,0.1135,2.32073091545105,0.1135,0.0,0.0,3.134300237055868,3.124101237859577,0.6509225009940565,6.912160955136642
41,2.320506293106079,0.1135,2.320506293106079,0.1135,0.0,0.0,2.8458490630146116,3.10785353416577,0.6569143098313361,6.6139513740781695
42,2.320796813201904,0.1135,2.320796813201904,0.1135,0.0,0.0,3.1420731358230114,3.153423157054931,0.64729662402533,6.945849912008271
43,2.3205770851135252,0.1135,2.3205770851135252,0.1135,0.0,0.0,3.0799994140397757,3.107241483172402,0.6490167651791126,6.839239894878119
44,2.3195848083496093,0.1135,2.3195848083496093,0.1135,0.0,0.0,2.9998268340714276,3.2487632129341364,0.6526238969527185,6.9044608909171075
45,2.3195287872314454,0.1135,2.3195287872314454,0.1135,0.0,0.0,3.0427997161168605,3.177803440950811,0.6520607671700418,6.875854775076732
46,2.320064695358276,0.1135,2.320064695358276,0.1135,0.0,0.0,2.929351347964257,3.0972726279869676,0.657225782983005,6.686690817819908
47,2.3191375545501707,0.1135,2.3191375545501707,0.1135,0.0,0.0,2.8732588139828295,3.0480876960791647,0.6553212238941342,6.579907251056284
48,2.3182878192901613,0.1135,2.3182878192901613,0.1135,0.0,0.0,2.7602258550468832,3.2267425160389394,0.6428862637840211,6.632807350018993
49,2.320522710418701,0.1135,2.320522710418701,0.1135,0.0,0.0,2.978493123082444,3.256095702992752,0.6490886600222439,6.886855816002935
50,2.3197550689697266,0.1135,2.3197550689697266,0.1135,0.0,0.0,2.9805988220032305,3.043052647029981,0.6594954209867865,6.686158788157627
